source_id,text,label,error_type,correct_text
s001,მოსწავლე ყოველ დილით ახალ წიგნს კითხულობს.,correct,none,მოსწავლე ყოველ დილით ახალ წიგნს კითხულობს.
s001,მოსწავლე ყოველ დილით ახალ წიგნს კითხულობს .,error,space_before_punctuation,მოსწავლე ყოველ დილით ახალ წიგნს კითხულობს.
s001,მოსწავლე ყოველ დილით aხალ წიგნს კითხულობს.,error,mixed_alphabet,მოსწავლე ყოველ დილით ახალ წიგნს კითხულობს.
s001,მოსწავლე ყოველ დილით  ახალ წიგნს კითხულობს.,error,double_space,მოსწავლე ყოველ დილით ახალ წიგნს კითხულობს.
s002,მასწავლებელმა რთული წესი მარტივი მაგალითით ახსნა.,correct,none,მასწავლებელმა რთული წესი მარტივი მაგალითით ახსნა.
s002,მასწავლებელმა რთული წესი  მარტივი მაგალითით ახსნა.,error,double_space,მასწავლებელმა რთული წესი მარტივი მაგალითით ახსნა.
s002,მასწავლებელმა რთული წeსი მარტივი მაგალითით ახსნა.,error,mixed_alphabet,მასწავლებელმა რთული წესი მარტივი მაგალითით ახსნა.
s002,მასწავლებელმა რთული წესი მარტივი მაგალითით ახსნა .,error,space_before_punctuation,მასწავლებელმა რთული წესი მარტივი მაგალითით ახსნა.
s003,როცა გაკვეთილი დასრულდა,correct,none,როცა გაკვეთილი დასრულდა
s003,როცა გაკვეთილი  დასრულდა,error,double_space,როცა გაკვეთილი დასრულდა
s003,როცა გაკვeთილი დასრულდა,error,mixed_alphabet,როცა გაკვეთილი დასრულდა
s004,ქართული ანბანი ოცდაცამეტი ასოსგან შედგება.,correct,none,ქართული ანბანი ოცდაცამეტი ასოსგან შედგება.
s004,ქართული ანბანი ოცდაცამეტი ასოსგან შედგება .,error,space_before_punctuation,ქართული ანბანი ოცდაცამეტი ასოსგან შედგება.
s004,ქართული ანბანი oცდაცამეტი ასოსგან შედგება.,error,mixed_alphabet,ქართული ანბანი ოცდაცამეტი ასოსგან შედგება.
s004,ქართული ანბანი ოცდაცამეტი  ასოსგან შედგება.,error,double_space,ქართული ანბანი ოცდაცამეტი ასოსგან შედგება.
s005,ჩვენ ხვალ ძველ თბილისს მეგობრებთან ერთად მოვინახულებთ.,correct,none,ჩვენ ხვალ ძველ თბილისს მეგობრებთან ერთად მოვინახულებთ.
s005,ჩვენ ხვალ ძველ თბილისს მeგობრებთან ერთად მოვინახულებთ.,error,mixed_alphabet,ჩვენ ხვალ ძველ თბილისს მეგობრებთან ერთად მოვინახულებთ.
